scenario,model,ensemble,warming_level,year
ssp119,EC-Earth3,r4i1p1f1,0.38,1920
ssp119,EC-Earth3,r4i1p1f1,0.38,1921
ssp119,EC-Earth3,r4i1p1f1,0.38,1922
ssp119,EC-Earth3,r4i1p1f1,0.38,1923
ssp119,EC-Earth3,r4i1p1f1,0.38,1924
ssp119,EC-Earth3,r4i1p1f1,0.38,1925
ssp119,EC-Earth3,r4i1p1f1,0.38,1926
ssp119,EC-Earth3,r4i1p1f1,0.38,1927
ssp119,EC-Earth3,r4i1p1f1,0.38,1928
ssp119,EC-Earth3,r4i1p1f1,0.38,1929
ssp119,EC-Earth3,r4i1p1f1,0.38,1930
ssp119,EC-Earth3,r4i1p1f1,0.38,1931
ssp119,EC-Earth3,r4i1p1f1,0.38,1932
ssp119,EC-Earth3,r4i1p1f1,0.38,1933
ssp119,EC-Earth3,r4i1p1f1,0.38,1934
ssp119,EC-Earth3,r4i1p1f1,0.38,1935
ssp119,EC-Earth3,r4i1p1f1,0.38,1936
ssp119,EC-Earth3,r4i1p1f1,0.38,1937
ssp119,EC-Earth3,r4i1p1f1,0.38,1938
ssp119,EC-Earth3,r4i1p1f1,0.38,1939
ssp119,EC-Earth3,r4i1p1f1,0.38,1940
ssp119,EC-Earth3,r4i1p1f1,0.38,1941
ssp119,EC-Earth3,r4i1p1f1,0.38,1942
ssp119,EC-Earth3,r4i1p1f1,0.38,1943
ssp119,EC-Earth3,r4i1p1f1,0.38,1944
ssp119,EC-Earth3,r4i1p1f1,0.38,1945
ssp119,EC-Earth3,r4i1p1f1,0.38,1946
ssp119,EC-Earth3,r4i1p1f1,0.38,1947
ssp119,EC-Earth3,r4i1p1f1,0.38,1948
ssp119,EC-Earth3,r4i1p1f1,0.38,1949
ssp119,EC-Earth3,r4i1p1f1,0.84,1966
ssp119,EC-Earth3,r4i1p1f1,0.84,1967
ssp119,EC-Earth3,r4i1p1f1,0.84,1968
ssp119,EC-Earth3,r4i1p1f1,0.84,1969
ssp119,EC-Earth3,r4i1p1f1,0.84,1970
ssp119,EC-Earth3,r4i1p1f1,0.84,1971
ssp119,EC-Earth3,r4i1p1f1,0.84,1972
ssp119,EC-Earth3,r4i1p1f1,0.84,1973
ssp119,EC-Earth3,r4i1p1f1,0.84,1974
ssp119,EC-Earth3,r4i1p1f1,0.84,1975
ssp119,EC-Earth3,r4i1p1f1,0.84,1976
ssp119,EC-Earth3,r4i1p1f1,0.84,1977
ssp119,EC-Earth3,r4i1p1f1,0.84,1978
ssp119,EC-Earth3,r4i1p1f1,0.84,1979
ssp119,EC-Earth3,r4i1p1f1,0.84,1980
ssp119,EC-Earth3,r4i1p1f1,0.84,1981
ssp119,EC-Earth3,r4i1p1f1,0.84,1982
ssp119,EC-Earth3,r4i1p1f1,0.84,1983
ssp119,EC-Earth3,r4i1p1f1,0.84,1984
ssp119,EC-Earth3,r4i1p1f1,0.84,1985
ssp119,EC-Earth3,r4i1p1f1,0.84,1986
ssp119,EC-Earth3,r4i1p1f1,0.84,1987
ssp119,EC-Earth3,r4i1p1f1,0.84,1988
ssp119,EC-Earth3,r4i1p1f1,0.84,1989
ssp119,EC-Earth3,r4i1p1f1,0.84,1990
ssp119,EC-Earth3,r4i1p1f1,0.84,1991
ssp119,EC-Earth3,r4i1p1f1,0.84,1992
ssp119,EC-Earth3,r4i1p1f1,0.84,1993
ssp119,EC-Earth3,r4i1p1f1,0.84,1994
ssp119,EC-Earth3,r4i1p1f1,0.84,1995
ssp119,EC-Earth3,r4i1p1f1,0.84,1996
ssp119,EC-Earth3,r4i1p1f1,0.84,1997
ssp119,EC-Earth3,r4i1p1f1,0.84,1998
ssp119,EC-Earth3,r4i1p1f1,0.84,1999
ssp119,EC-Earth3,r4i1p1f1,0.84,2000
ssp119,EC-Earth3,r4i1p1f1,0.84,2001
ssp119,EC-Earth3,r4i1p1f1,0.84,2002
ssp119,EC-Earth3,r4i1p1f1,0.84,2003
ssp119,EC-Earth3,r4i1p1f1,0.84,2004
ssp119,EC-Earth3,r4i1p1f1,0.84,2005
ssp119,EC-Earth3,r4i1p1f1,0.84,2006
ssp119,EC-Earth3,r4i1p1f1,1,1985
ssp119,EC-Earth3,r4i1p1f1,1,1986
ssp119,EC-Earth3,r4i1p1f1,1,1987
ssp119,EC-Earth3,r4i1p1f1,1,1988
ssp119,EC-Earth3,r4i1p1f1,1,1989
ssp119,EC-Earth3,r4i1p1f1,1,1990
ssp119,EC-Earth3,r4i1p1f1,1,1991
ssp119,EC-Earth3,r4i1p1f1,1,1992
ssp119,EC-Earth3,r4i1p1f1,1,1993
ssp119,EC-Earth3,r4i1p1f1,1,1994
ssp119,EC-Earth3,r4i1p1f1,1,1995
ssp119,EC-Earth3,r4i1p1f1,1,1996
ssp119,EC-Earth3,r4i1p1f1,1,1997
ssp119,EC-Earth3,r4i1p1f1,1,1998
ssp119,EC-Earth3,r4i1p1f1,1,1999
ssp119,EC-Earth3,r4i1p1f1,1,2000
ssp119,EC-Earth3,r4i1p1f1,1,2001
ssp119,EC-Earth3,r4i1p1f1,1,2002
ssp119,EC-Earth3,r4i1p1f1,1,2003
ssp119,EC-Earth3,r4i1p1f1,1,2004
ssp119,EC-Earth3,r4i1p1f1,1.5,2008
ssp119,EC-Earth3,r4i1p1f1,1.5,2009
ssp119,EC-Earth3,r4i1p1f1,1.5,2010
ssp119,EC-Earth3,r4i1p1f1,1.5,2011
ssp119,EC-Earth3,r4i1p1f1,1.5,2012
ssp119,EC-Earth3,r4i1p1f1,1.5,2013
ssp119,EC-Earth3,r4i1p1f1,1.5,2014
ssp119,EC-Earth3,r4i1p1f1,1.5,2015
ssp119,EC-Earth3,r4i1p1f1,1.5,2016
ssp119,EC-Earth3,r4i1p1f1,1.5,2017
ssp119,EC-Earth3,r4i1p1f1,1.5,2018
ssp119,EC-Earth3,r4i1p1f1,1.5,2019
ssp119,EC-Earth3,r4i1p1f1,1.5,2020
ssp119,EC-Earth3,r4i1p1f1,1.5,2021
ssp119,EC-Earth3,r4i1p1f1,1.5,2022
ssp119,EC-Earth3,r4i1p1f1,1.5,2023
ssp119,EC-Earth3,r4i1p1f1,1.5,2024
ssp119,EC-Earth3,r4i1p1f1,1.5,2025
ssp119,EC-Earth3,r4i1p1f1,1.5,2026
ssp119,EC-Earth3,r4i1p1f1,1.5,2027
ssp119,EC-Earth3,r4i1p1f1,2,2035
ssp119,EC-Earth3,r4i1p1f1,2,2036
ssp119,EC-Earth3,r4i1p1f1,2,2037
ssp119,EC-Earth3,r4i1p1f1,2,2038
